Orf	Name	130min	170min	Overnight
YBR042C	CST26	-2.453149051	-1.104033324	0.603946849
YER016W	BIM1	-0.706184259	-0.044342293	-0.226527326
YMR036C	MIH1	-0.464420353	0.241522034	0.358259074
YOR296W	YOR296W	0.699399181	-0.005978547	1.350370308
YNL136W	EAF7	0.077026064	0.405572039	0.283679455
YGL200C	EMP24	0.321262277	0.477804032	-0.062493556
YHR009C	TDA3	0.10815018	0.396753799	-0.02759688
YPL206C	PGC1	0.58011513	0.024697267	0.27395737
YBR067C	TIP1	-0.678182127	0.8003769	1.310669135
YGL246C	RAI1	0.121732362	0.472780135	-3.571600524
YER031C	YPT31	-0.708883686	-1.003115459	-0.303651021
YBR080C	SEC18	NA	0.833317446	0.108419927
YCR024C	SLM5	-0.487758135	-0.281349059	-0.475913245
YOR195W	SLK19	-0.453362315	-0.749974729	-0.665191581
YGL091C	NBP35	1.104973102	-0.440463157	1.257758691
YLL043W	FPS1	NA	-0.688831032	-0.982706586
YKR060W	UTP30	0.374954695	-0.600548051	-0.63461853
YCL027C-A	NA	0.1932498	-0.014686865	-0.821869693
YML109W	ZDS2	0.518908421	0.064015472	0.210481398
YDR370C	DXO1	0.921072338	0.461844992	-0.842326104
YMR055C	BUB2	0.194905907	0.071358572	0.41099915
YIL079C	AIR1	-0.585952364	-0.626438538	0.612438274
YKR077W	MSA2	0.815530309	0.748944592	0.642320518
YBR262C	MIC12	-0.163311701	0.163593039	0.688031037
YJL112W	MDV1	NA	0.113197792	0.402585354
YBR244W	GPX2	0.898447853	0.16539108	0.232139939
YLR023C	IZH3	0.188019019	-0.39410188	-0.213695544
YBR011C	IPP1	0.743878154	0.345113003	0.398753041
YPL249C-A	RPL36B	0.002817431	-0.561018262	-0.033638899
YEL042W	GDA1	0.147529215	-1.061638535	-0.487721505
YCR036W	RBK1	-0.719175941	-0.818763486	0.191682259
YBR161W	CSH1	-1.133110775	-0.718472356	0.471455147
YKL151C	YKL151C	0.120131543	-0.077489939	0.735805838
YIL090W	ICE2	0.106988483	0.179983641	-0.97809505
YDR404C	RPB7	-0.194215595	-0.389893139	0.343643875
YLR260W	LCB5	-0.254794994	0.227455117	1.098339387
YKL067W	YNK1	0.45395535	0.600200286	-0.00307681
YMR132C	JLP2	0.270949031	-0.313275258	-0.716717296
YMR054W	STV1	NA	-0.082278009	0.61043906
YBR265W	TSC10	-1.485177913	-0.082383613	1.233873292
YMR219W	ESC1	-0.072565012	0.031919947	0.126823529
YCR065W	HCM1	-1.132159619	-0.558981056	0.475438934
YEL014C	YEL014C	0.209221994	0.028767753	0.688733293
YHR187W	IKI1	-0.296540633	-0.949776578	0.515890855
YGL064C	MRH4	-1.145493932	0.550083354	-0.182760074
YLL018C-A	COX19	0.009194751	-0.32676074	0.464856927
YMR231W	PEP5	-0.525226294	-0.013980792	-0.03538572
YDR267C	CIA1	1.780462142	0.095238904	-2.534175937
YBR196C	PGI1	-1.066938667	0.25999513	0.701813542
YKL135C	APL2	0.407077312	0.207134121	0.134016149
YDR021W	FAL1	-0.555058036	-0.522519864	-0.438373479
YHR059W	FYV4	1.387927704	0.514886418	1.730716552
YMR021C	MAC1	-0.092905086	0.256870403	0.053054059
YJR113C	RSM7	1.024565663	0.839359906	-0.031166241
YGR036C	CAX4	-0.015409919	-0.355951318	-0.235535551
YKL134C	1-Oct	-0.556507327	-0.040438407	-0.208459153
YDR515W	SLF1	-0.489019855	-1.048212845	-0.320153586
YDR128W	MTC5	-0.504909283	0.026637325	2.715194131
YDL229W	SSB1	-0.211526184	-0.649736971	-0.996069514
YCR018C	SRD1	1.024942494	0.540343874	-0.261991735
YNL059C	ARP5	0.283029459	0.796024091	-0.844029611
YNL243W	SLA2	1.457914268	1.649900118	-0.302160492
YDR155C	CPR1	2.457361983	1.859309617	0.376280938
YDL233W	MFG1	0.86510854	0.29176657	0.589587167
YIR026C	YVH1	-0.70340863	-0.325608066	-0.256595689
YER159C	BUR6	0.937924849	0.835710745	-0.050381639
YLR034C	SMF3	0.061946919	0.377401909	0.47746783
YPL183W-A	RTC6	-0.49273729	-0.132403676	2.699849026
YOR142W	LSC1	-0.03994655	0.507824648	-1.672858997
YDR178W	SDH4	-1.040891549	-0.538149875	-0.086026164
YER101C	AST2	0.120242572	-0.056573976	-0.037385634
YOR116C	RPO31	0.665330452	0.643500843	-0.767212119
YJR111C	YJR111C	-0.206464937	-0.283015199	0.164541786
YLR095C	IOC2	0.497788167	0.826954616	-0.640211044
YER037W	PHM8	1.14840282	-1.646767968	0.70433631
YHR066W	SSF1	-0.516184933	-0.07154603	-1.19930106
YIR007W	YIR007W	-0.068876027	0.456483228	0.257553369
YEL017W	GTT3	-0.045532355	0.424886815	0.578780905
YBL090W	MRP21	0.982455159	0.079767607	0.755685638
YIL065C	FIS1	-0.268652062	0.64461725	-0.01845869
YGR020C	VMA7	-2.840062941	-2.605047261	NA
YEL020C	YEL020C	-4.188883128	2.106471785	0.755065709
YBR168W	PEX32	-0.29006912	-0.127551266	-0.494976471
YBR234C	ARC40	2.987254857	2.774959782	0.863492641
YDR440W	DOT1	-0.933971946	-0.153658644	-0.266171622
YDR519W	FPR2	1.309082759	0.860077943	NA
YGR158C	MTR3	-0.212421225	-0.36026829	-0.76019266
YOR326W	MYO2	2.20760888	0.988129283	-0.234517991
YDL171C	GLT1	-2.225487043	-3.444490606	-2.998046531
YOR303W	CPA1	-0.890372445	-1.948747956	-1.068214682
YNL220W	ADE12	-0.186926826	-0.70844055	0.055970085
YPL046C	ELC1	-0.119992158	-0.035767578	0.565493173
YBL101C	ECM21	0.358862061	0.080818082	1.985668979
YPR098C	YPR098C	-0.467294769	0.388165435	0.889565262
YJR008W	MHO1	0.490008656	-0.127580044	1.473387194
YGR008C	STF2	1.927541471	2.580861543	1.743284013
YDR020C	DAS2	0.42766001	-0.586649906	-0.753074508
YLR403W	SFP1	-0.067414681	0.483519375	1.55450625
YPL274W	SAM3	-0.058329591	0.132876059	0.566377939
YLR222C	UTP13	0.519325339	0.084900426	-1.6843688
YLR168C	UPS2	0.107544419	0.125594962	-0.246069455
YCR084C	TUP1	3.041908045	NA	-0.119541624
YJL058C	BIT61	0.622322743	0.422950939	-0.740224587
YDL204W	RTN2	0.295495188	1.311813021	0.320225751
YLR357W	RSC2	0.511455057	0.922360514	1.447120161
YBR287W	YBR287W	0.384598245	-0.013429765	-0.458277869
YDR091C	RLI1	0.068698157	-0.154725573	-0.207762629
YDR101C	ARX1	0.147878504	0.077546387	-1.31309403
YEL043W	YEL043W	0.020139321	0.114193687	0.488713198
YDR318W	MCM21	0.29276998	-0.035045471	-0.397600168
YLR448W	RPL6B	-1.208172834	-0.907529493	-0.100574505
YFL045C	SEC53	-0.727725839	-0.570873377	-1.669796842
YJR047C	ANB1	0.69930844	0.74061629	0.873582342
YPR155C	NCA2	0.149422522	-0.423441415	-0.217416688
YMR102C	YMR102C	0.262350505	-0.167825262	-1.015183716
YGL098W	USE1	0.215276104	-0.107042404	0.350117332
YGL080W	MPC1	1.150094945	0.63718456	1.00432837
YLR390W-A	CCW14	0.091750955	0.122508481	-0.373353553
YNL177C	MRPL22	0.07481748	-0.312247613	0.413290065
YNL257C	SIP3	NA	-0.708689195	1.670478183
YDR153C	ENT5	0.332828625	0.272714342	-0.006756035
YAL053W	FLC2	NA	0.159562804	0.793820771
YDR288W	NSE3	0.539746864	0.43182722	0.361085831
YKL204W	EAP1	-0.132350066	-0.278252998	-0.223810025
YHR083W	SAM35	3.446341127	-0.051286236	2.167064353
YDR150W	NUM1	0.240867361	0.018695689	0.293770079
YDR380W	ARO10	3.232896123	0.656763774	-1.881279083
YKL215C	OXP1	-0.27077095	-0.285076985	1.306181962
YBR060C	ORC2	1.026364242	0.326776029	-0.280177513
YGR060W	ERG25	1.687415177	1.223698682	0.194867027
YOR213C	SAS5	0.503950846	-0.207334049	-0.374884512
YDR214W	AHA1	0.088067288	-0.493556023	-0.661025237
YNL111C	CYB5	-0.075510233	-0.060753937	0.341244244
YDR436W	PPZ2	0.317107841	0.09122275	-0.077107361
YHR162W	MPC2	-0.02867643	0.336682434	-0.600684714
YBR138C	YBR138C	0.216646282	0.128940043	-0.90779521
YML080W	DUS1	-0.542429158	-0.585471349	-0.388029554
YLR298C	YHC1	0.079099582	-0.056718071	-0.38612272
YPL225W	YPL225W	-0.495305152	0.138288428	0.098598679
YGR133W	PEX4	0.674280412	-0.544476999	0.06146091
YPL269W	KAR9	0.280385934	0.466934309	-0.036650606
YIL098C	FMC1	-0.221600037	0.826487051	1.328520472
